from_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_contracts,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0xe1fc517030fd6cb83598eb51124ea7cde7322daa,0,0.0,51,0.0,69360,1360.0,69360,1360.0,1,17,22114965,22580468,17,32.0,32,32.0,32,32.0,32,1.0,465503,0.00010955867189111157
0xc1c0104f8ec7cf4b2fc4f86781aa6cbd0e8a2400,0,0.0,154,0.0,207746,1349.0,207746,1349.0,1,79,22102222,22395311,79,32.0,32,32.0,32,32.0,32,1.0,293089,0.0005254358729400526
0xd13b46290f61db3e6638be2746e88f0c04ab883f,0,0.0,6,0.0,8094,1349.0,8094,1349.0,1,6,22093575,22444260,6,32.0,32,32.0,32,32.0,32,1.0,350685,1.710932287003188e-05
0xcfdee1e80f67d45761f321f3c9ecb28aae769810,0,0.0,75,0.0,102000,1360.0,102000,1360.0,1,25,22228381,22417729,25,32.0,32,32.0,32,32.0,32,1.0,189348,0.0003960939851808037
0xce5c72f4b112787d59cd2390dd4548525b1b1d05,0,0.0,30,0.0,40800,1360.0,40800,1360.0,1,10,22229047,22254716,10,32.0,32,32.0,32,32.0,32,1.0,25669,0.001168679392286716
0xce54f65abb8b61b83c14cbe97de97fce75bbf556,0,0.0,72,0.0,97920,1360.0,97920,1360.0,1,24,22443803,22524051,24,32.0,32,32.0,32,32.0,32,1.0,80248,0.0008972074418372815
0xc868879f3ae6a5c3cd3899338826909cb71a686a,0,0.0,9,0.0,12240,1360.0,12240,1360.0,1,3,22394727,22522100,3,32.0,32,32.0,32,32.0,32,1.0,127373,7.065806208488389e-05
0xc8564726aaa50cf006ea28c5ef2dadd85a26b723,0,0.0,120,0.0,163200,1360.0,163200,1360.0,1,40,22223342,22524138,40,32.0,32,32.0,32,32.0,32,1.0,300796,0.00039894014900414564
0xc2d17664b6f038ffa2eba5e93b73529c596dd492,0,0.0,66,0.0,89760,1360.0,89760,1360.0,1,22,22193494,22417714,22,32.0,32,32.0,32,32.0,32,1.0,224220,0.0002943524469162121
0xc0ffeefeed8b9d271445cf5d1d24d74d2ca4235e,0,0.0,2,0.0,2720,1360.0,2720,1360.0,1,1,22493354,22493354,1,32.0,32,32.0,32,32.0,32,1.0,0,2.0
0xbd0d1168f0a49d5ecd33d214d955b270a3e17da5,0,0.0,54,0.0,73440,1360.0,73440,1360.0,1,18,22193336,22195900,18,32.0,32,32.0,32,32.0,32,1.0,2564,0.021052631578947368
0xba9bae4c5d186ba14aa43e3b90d8624718e9efef,0,0.0,64,0.0,85632,1338.0,85632,1338.0,1,32,22090090,22580855,32,32.0,32,32.0,32,32.0,32,1.0,490765,0.00013040838199875296
0xb5b25e9b8c5c2d4e03ca0a79e42aa226cdec3ff2,0,0.0,72,0.0,97920,1360.0,97920,1360.0,1,24,22323837,22524139,24,32.0,32,32.0,32,32.0,32,1.0,200302,0.00035945542503107794
0xb32c3187882b098f92abbbb449dec610235188e1,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22179315,22179315,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0xb00439e6f77af558c79005ee9d158df547490e88,0,0.0,48,0.0,65280,1360.0,65280,1360.0,1,16,22223281,22522680,16,32.0,32,32.0,32,32.0,32,1.0,299399,0.00016032064128256512
0xaf09ededebf5805595e8234c54fdd68a55a87eee,0,0.0,2,0.0,2698,1349.0,2698,1349.0,1,1,22330003,22330003,1,32.0,32,32.0,32,32.0,32,1.0,0,2.0
0xe19635704ae3b77bc993358ff515d10cceae0ce1,0,0.0,96,0.0,130560,1360.0,130560,1360.0,1,32,22216873,22524051,32,32.0,32,32.0,32,32.0,32,1.0,307178,0.0003125213637651011
0x3f261ad6666d6fea319939a3373776632e252778,0,0.0,296,0.0,396048,1338.0,396048,1338.0,1,152,22089904,22580609,152,32.0,32,32.0,32,32.0,32,1.0,490705,0.0006032125142142138
0x3dd05190e1c62cd065e809dcbdddc53b8dc07a90,0,0.0,3,0.0,4047,1349.0,4047,1349.0,1,1,22108790,22108790,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0x3d782c0c69101358a8267ba116c86726fdf35f91,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22500016,22500016,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
